country,2016_Q3,2016_Q4,2016 Net Cumulative,2017_Q1,2017_Q2,2017_Q3,2017_Q4,2017 Net Cumulative,2018_Q1,2018_Q2,2018_Q3,2018_Q4,2018 Net Cumulative,2019_Q1,2019_Q2,2019_Q3,2019_Q4,2019 Net Cumulative ,2020_Q1,2020_Q2,2020_Q3,2020_Q4,2020 Net Cumulative,2021_Q1,2021_Q2,2021_Q3,2021_Q4,2021 Net Cumulative,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2022 Net Cumulative,2023_Q1,2023_Q2,  2023_Q3  , 2023_Q4 ,2023 Net Cumulative,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2024 Net Cumulative
Sri Lanka,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  135 ,  135 ,  135 ,  135 ,  135 ,  135 ,  135 ,  -   ,  249 ,  249 ,  249 ,  269 ,  134 ,269,269,269,269,  -   
Sweden,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  18 ,  18 ,  18 ,  18 ,  18 ,  18 ,  18 ,  18 ,  18 ,  -   ,  18 ,  1034 ,  1034 ,  1034 ,  1016 ,  1034 ,  1034 ,  1034 ,  1034 ,  -   ,  1034 ,  2323 ,  2323 ,  2323 ,  1289 ,2323,2323,2323,2323,  -   
Switzerland,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1500 ,  1500 ,  1500 ,  1500 ,  1500 ,  1500 ,  1500 ,  -   ,  1500 ,  1500 ,  1500 ,  1500 ,  -   ,  1500 ,  1500 ,  1500 ,  1500 ,  -   ,  1500 ,  4120 ,  4120 ,  4120 ,  2620 ,4120,5096,5096,5096,  976 
Taiwan,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  302 ,  302 ,  302 ,  1002 ,  1002 ,  1002 ,  700 ,  1002 ,  1002 ,  1002 ,  1002 ,  -   ,  1002 ,  1002 ,  4142 ,  4142 ,  3140 ,  4142 ,  4142 ,  4142 ,  4142 ,  -   ,  4142 ,  4142 ,  4142 ,  4142 ,  -   ,4142,4142,4142,4142,  -   
Tajikistan,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  10 ,  10 ,  10 ,  25 ,  25 ,  77 ,  98 ,  169 ,  224 ,  199 ,  256 ,  415 ,  598 ,  733 ,  509 ,857,1033,1189,1189,  456 
Tanzania,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  813 ,  2578 ,  2578 ,  8652 ,  8652 ,  12057 ,  12057 ,  15000 ,  15000 ,  6348 ,  15000 ,  15000 ,  18102 ,  22147 ,  7147 ,  27796 ,  43790 ,  51412 ,  55920 ,  33773 ,  73316 ,  103953 ,  127614 ,  149687 ,  93767 ,  181784 ,  217088 ,  253259 ,  253259 ,  103572 ,334432,396787,462358,462358,  209099 
Thailand,  420 ,  420 ,  420 ,  420 ,  420 ,  420 ,  420 ,  -   ,  4924 ,  5122 ,  5122 ,  7626 ,  7206 ,  8686 ,  9464 ,  11795 ,  13341 ,  5715 ,  15653 ,  16228 ,  18332 ,  21028 ,  7687 ,  22388 ,  24403 ,  37840 ,  39308 ,  18280 ,  41027 ,  42350 ,  48875 ,  51072 ,  11764 ,  58269 ,  60473 ,  62775 ,  65766 ,  14694 ,71307,76377,78125,78125,  12359 
Togo,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  69 ,  69 ,  69 ,  99 ,  99 ,  100 ,  100 ,  100 ,  100 ,  1 ,  100 ,  100 ,  100 ,  100 ,  -   ,  100 ,  100 ,  100 ,  100 ,  -   ,  100 ,  100 ,  100 ,  634 ,  534 ,  812 ,  1437 ,  2026 ,  2715 ,  2081 ,3535,4390,5222,5222,  2507 
Uganda,  4 ,  4 ,  4 ,  4 ,  4 ,  4 ,  4 ,  -   ,  7640 ,  9690 ,  9690 ,  13252 ,  13248 ,  19325 ,  19411 ,  31309 ,  31417 ,  18165 ,  31417 ,  31417 ,  46840 ,  67950 ,  36533 ,  82218 ,  116068 ,  154081 ,  188474 ,  120524 ,  222956 ,  269840 ,  317968 ,  353974 ,  165500 ,  401083 ,  456674 ,  514084 ,  550227 ,  196253 ,599816,673027,743636,743696,  193469 
Ukraine,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  167 ,  201 ,  201 ,  228 ,  228 ,  236 ,  236 ,  1111 ,  1111 ,  883 ,  1111 ,  1111 ,  1862 ,  2377 ,  1266 ,  2789 ,  3254 ,  3937 ,  5375 ,  2998 ,  6991 ,  8053 ,  9260 ,  11065 ,  5690 ,  12808 ,  14601 ,  16338 ,  18214 ,  7149 ,20147,21833,23642,23642,  5428 
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,  -   
United States,  99441 ,  99441 ,  99441 ,  99441 ,  99441 ,  99441 ,  99441 ,  -   ,  188907 ,  188907 ,  188907 ,  188907 ,  89466 ,  188907 ,  188907 ,  188907 ,  188907 ,  -   ,  188907 ,  203837 ,  203837 ,  203837 ,  14930 ,  203837 ,  203837 ,  203837 ,  227047 ,  23210 ,  227047 ,  227047 ,  363148 ,  363148 ,  136101 ,  381784 ,  438371 ,  438371 ,  438371 ,  75223 ,438371,511769,511769,525825,  87454 
Uruguay,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  38 ,  38 ,  38 ,  38 ,  38 ,  188 ,  188 ,  150 ,  188 ,  188 ,  188 ,  188 ,  -   ,188,240,240,240,  52 
Uzbekistan,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  253 ,  253 ,  253 ,  253 ,253,448,448,448,  195 
Vietnam,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  777 ,  1323 ,  1323 ,  2246 ,  2246 ,  2789 ,  4267 ,  6735 ,  6735 ,  4489 ,  6735 ,  6735 ,  10423 ,  14996 ,  8261 ,  18972 ,  23699 ,  27903 ,  29027 ,  14031 ,  33938 ,  52170 ,  44432 ,  50265 ,  21238 ,  56050 ,  60821 ,  66341 ,  71204 ,  20939 ,75748,80013,83825,83825,  12621 
Wales,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  200 ,  200 ,  200 ,  200 ,  200 ,  200 ,  1000 ,  1000 ,  1000 ,  800 ,  1000 ,  1200 ,  1200 ,  1200 ,  200 ,  2400 ,  2400 ,  2586 ,  2586 ,  1386 ,  2586 ,  2586 ,  2586 ,  3256 ,  670 ,  3256 ,  3256 ,  3256 ,  3256 ,  -   ,3256,3256,3256,3256,  -   
Zambia,  -   ,  319 ,  319 ,  319 ,  329 ,  332 ,  591 ,  272 ,  932 ,  2803 ,  4155 ,  4155 ,  3564 ,  11188 ,  11188 ,  27405 ,  27405 ,  23250 ,  27405 ,  27405 ,  46320 ,  72309 ,  44904 ,  98673 ,  131951 ,  168499 ,  202704 ,  130395 ,  233471 ,  273779 ,  312786 ,  351207 ,  148503 ,  390454 ,  467704 ,  547230 ,  619042 ,  267835 ,697158,808847,892572,895685,  276643 
Zimbabwe,  40 ,  288 ,  288 ,  572 ,  1376 ,  2359 ,  2965 ,  2677 ,  4069 ,  5429 ,  7333 ,  9096 ,  6131 ,  9885 ,  11831 ,  15484 ,  18398 ,  9302 ,  22505 ,  23037 ,  25750 ,  27899 ,  9501 ,  28626 ,  39745 ,  48738 ,  59918 ,  32019 ,  72661 ,  89946 ,  120709 ,  143498 ,  83580 ,  165986 ,  191413 ,  217401 ,  256459 ,  112961 ,292387,329099,334499,337010,  80551 
